task_id,occupation,task_text,ability_name,weight,uncertain
10841,Environmental Compliance Inspectors,"Determine which sites and violation reports to investigate, and coordinate compliance and enforcement activities with other government agencies.",Deductive Reasoning,3,0
10841,Environmental Compliance Inspectors,"Determine which sites and violation reports to investigate, and coordinate compliance and enforcement activities with other government agencies.",Inductive Reasoning,2,0
10841,Environmental Compliance Inspectors,"Determine which sites and violation reports to investigate, and coordinate compliance and enforcement activities with other government agencies.",Information Ordering,2,0
10841,Environmental Compliance Inspectors,"Determine which sites and violation reports to investigate, and coordinate compliance and enforcement activities with other government agencies.",Oral Expression,2,0
10841,Environmental Compliance Inspectors,"Determine which sites and violation reports to investigate, and coordinate compliance and enforcement activities with other government agencies.",Problem Sensitivity,1,0
10841,Environmental Compliance Inspectors,"Determine which sites and violation reports to investigate, and coordinate compliance and enforcement activities with other government agencies.",Written Comprehension,2,0
11291,Loan Interviewers and Clerks,Verify and examine information and accuracy of loan application and closing documents.,Deductive Reasoning,2,0
11291,Loan Interviewers and Clerks,Verify and examine information and accuracy of loan application and closing documents.,Near Vision,3,0
11291,Loan Interviewers and Clerks,Verify and examine information and accuracy of loan application and closing documents.,Number Facility,1,0
11291,Loan Interviewers and Clerks,Verify and examine information and accuracy of loan application and closing documents.,Perceptual Speed,3,0
11291,Loan Interviewers and Clerks,Verify and examine information and accuracy of loan application and closing documents.,Problem Sensitivity,2,0
11291,Loan Interviewers and Clerks,Verify and examine information and accuracy of loan application and closing documents.,Written Comprehension,3,0
11308,Loan Interviewers and Clerks,Establish credit limits and grant extensions of credit on overdue accounts.,Deductive Reasoning,3,0
11308,Loan Interviewers and Clerks,Establish credit limits and grant extensions of credit on overdue accounts.,Mathematical Reasoning,1,0
11308,Loan Interviewers and Clerks,Establish credit limits and grant extensions of credit on overdue accounts.,Number Facility,2,0
11308,Loan Interviewers and Clerks,Establish credit limits and grant extensions of credit on overdue accounts.,Problem Sensitivity,2,0
11308,Loan Interviewers and Clerks,Establish credit limits and grant extensions of credit on overdue accounts.,Written Comprehension,2,0
11338,Postal Service Clerks,Transport mail from one work station to another.,Gross Body Coordination,1,0
11338,Postal Service Clerks,Transport mail from one work station to another.,Manual Dexterity,2,0
11338,Postal Service Clerks,Transport mail from one work station to another.,Static Strength,2,0
11338,Postal Service Clerks,Transport mail from one work station to another.,Trunk Strength,1?,0
11346,Postal Service Mail Carriers,Sign for cash-on-delivery and registered mail before leaving the post office.,Information Ordering,1,0
11346,Postal Service Mail Carriers,Sign for cash-on-delivery and registered mail before leaving the post office.,Near Vision,1,0
11346,Postal Service Mail Carriers,Sign for cash-on-delivery and registered mail before leaving the post office.,Written Comprehension,1,0
11393,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Store samples of finished products in labeled cartons and record their location.,Information Ordering,2,0
11393,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Store samples of finished products in labeled cartons and record their location.,Memorization,2,0
11393,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Store samples of finished products in labeled cartons and record their location.,Near Vision,2,0
11393,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Store samples of finished products in labeled cartons and record their location.,Written Comprehension,2,0
11393,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Store samples of finished products in labeled cartons and record their location.,Written Expression,2,0
