task_id,occupation,task_text,ability_name,weight,uncertain
18963,Computer Network Architects,"Design, organize, and deliver product awareness, skills transfer, or product education sessions for staff or suppliers.",Oral Expression,3,0
18963,Computer Network Architects,"Design, organize, and deliver product awareness, skills transfer, or product education sessions for staff or suppliers.",Oral Comprehension,2,0
18963,Computer Network Architects,"Design, organize, and deliver product awareness, skills transfer, or product education sessions for staff or suppliers.",Information Ordering,2,0
18963,Computer Network Architects,"Design, organize, and deliver product awareness, skills transfer, or product education sessions for staff or suppliers.",Fluency of Ideas,2,0
18963,Computer Network Architects,"Design, organize, and deliver product awareness, skills transfer, or product education sessions for staff or suppliers.",Written Expression,2,0
18963,Computer Network Architects,"Design, organize, and deliver product awareness, skills transfer, or product education sessions for staff or suppliers.",Speech Clarity,2,0
18963,Computer Network Architects,"Design, organize, and deliver product awareness, skills transfer, or product education sessions for staff or suppliers.",Deductive Reasoning,1,0
18976,Computer Network Architects,Explain design specifications to integration or test engineers.,Oral Expression,3,0
18976,Computer Network Architects,Explain design specifications to integration or test engineers.,Oral Comprehension,2,0
18976,Computer Network Architects,Explain design specifications to integration or test engineers.,Written Comprehension,2,0
18976,Computer Network Architects,Explain design specifications to integration or test engineers.,Deductive Reasoning,2,0
18976,Computer Network Architects,Explain design specifications to integration or test engineers.,Speech Clarity,2,0
18976,Computer Network Architects,Explain design specifications to integration or test engineers.,Speech Recognition,1,0
18973,Computer Network Architects,"Develop procedures to track, project, or report network availability, reliability, capacity, or utilization.",Deductive Reasoning,3,0
18973,Computer Network Architects,"Develop procedures to track, project, or report network availability, reliability, capacity, or utilization.",Inductive Reasoning,2,0
18973,Computer Network Architects,"Develop procedures to track, project, or report network availability, reliability, capacity, or utilization.",Mathematical Reasoning,2,0
18973,Computer Network Architects,"Develop procedures to track, project, or report network availability, reliability, capacity, or utilization.",Information Ordering,2,0
18973,Computer Network Architects,"Develop procedures to track, project, or report network availability, reliability, capacity, or utilization.",Written Expression,2,0
18973,Computer Network Architects,"Develop procedures to track, project, or report network availability, reliability, capacity, or utilization.",Number Facility,2,0
18973,Computer Network Architects,"Develop procedures to track, project, or report network availability, reliability, capacity, or utilization.",Problem Sensitivity,1,0
18961,Computer Network Architects,Coordinate network or design activities with designers of associated networks.,Oral Expression,3,0
18961,Computer Network Architects,Coordinate network or design activities with designers of associated networks.,Oral Comprehension,2,0
18961,Computer Network Architects,Coordinate network or design activities with designers of associated networks.,Deductive Reasoning,2,0
18961,Computer Network Architects,Coordinate network or design activities with designers of associated networks.,Speech Clarity,1,0
18961,Computer Network Architects,Coordinate network or design activities with designers of associated networks.,Speech Recognition,1,0
18961,Computer Network Architects,Coordinate network or design activities with designers of associated networks.,Information Ordering,1,0
18983,Computer Network Architects,"Prepare or monitor project schedules, budgets, or cost control systems.",Mathematical Reasoning,3,0
18983,Computer Network Architects,"Prepare or monitor project schedules, budgets, or cost control systems.",Number Facility,3,0
18983,Computer Network Architects,"Prepare or monitor project schedules, budgets, or cost control systems.",Deductive Reasoning,2,0
18983,Computer Network Architects,"Prepare or monitor project schedules, budgets, or cost control systems.",Information Ordering,2,0
18983,Computer Network Architects,"Prepare or monitor project schedules, budgets, or cost control systems.",Written Expression,2,0
18983,Computer Network Architects,"Prepare or monitor project schedules, budgets, or cost control systems.",Problem Sensitivity,1,0
18981,Computer Network Architects,Prepare design presentations and proposals for staff or customers.,Written Expression,3,0
18981,Computer Network Architects,Prepare design presentations and proposals for staff or customers.,Oral Expression,2,0
18981,Computer Network Architects,Prepare design presentations and proposals for staff or customers.,Fluency of Ideas,2,0
18981,Computer Network Architects,Prepare design presentations and proposals for staff or customers.,Deductive Reasoning,2,0
18981,Computer Network Architects,Prepare design presentations and proposals for staff or customers.,Written Comprehension,1,0
18981,Computer Network Architects,Prepare design presentations and proposals for staff or customers.,Originality,1,0
18986,Computer Network Architects,Use network computer-aided design (CAD) software packages to optimize network designs.,Visualization,3,0
18986,Computer Network Architects,Use network computer-aided design (CAD) software packages to optimize network designs.,Deductive Reasoning,3,0
18986,Computer Network Architects,Use network computer-aided design (CAD) software packages to optimize network designs.,Inductive Reasoning,2,0
18986,Computer Network Architects,Use network computer-aided design (CAD) software packages to optimize network designs.,Mathematical Reasoning,2,0
18986,Computer Network Architects,Use network computer-aided design (CAD) software packages to optimize network designs.,Spatial Orientation,2,0
